library,build,N,CEIL_pct,baseline_recall_pct,baseline_f1_pct,searchable,magic_hits
base64,-O2,7,0.0,,,0,0
mpack,-O2,366,6.8,,,25,0
parson,-O2,120,9.2,,,11,0
cJSON,-O2,90,10.0,,,9,0
tinyexpr,-O2,27,11.1,,,3,0
cwalk,-O2,33,12.1,,,4,0
tomlc99,-O2,57,12.3,,,7,0
heatshrink,-O2,16,12.5,,,2,0
inih,-O2,7,14.3,,,1,0
microtar,-O2,19,15.8,,,3,0
sha2,-O2,5,20.0,,,1,0
sds,-O2,50,22.0,,,11,0
logc,-O2,8,25.0,,,2,0
yyjson,-O2,68,25.0,,,17,0
lua,-O2,408,31.9,,,130,0
mongoose,-O2,265,33.2,,,88,0
picohttpparser,-O2,9,33.3,,,3,0
tinyregex,-O2,8,37.5,,,3,0
stb,-O2,113,38.1,,,43,0
miniz,-O2,141,39.7,1.4,2.8,56,2
monocypher,-O2,82,41.5,,,34,0
lz4,-O2,162,49.4,11.1,20.0,80,18
jsmn,-O2,2,50.0,,,1,0
md4c,-O2,60,50.0,,,30,0
xxHash,-O2,61,52.5,42.6,59.8,32,26
http_parser,-O2,17,52.9,,,9,0
zlib,-O2,130,58.5,6.2,11.6,76,8
utf8proc,-O2,33,60.6,,,20,0
klib,-O2,177,61.6,,,109,0
qrcodegen,-O2,25,84.0,,,21,0
zlib,-O0,152,50.0,2.0,3.9,76,3
zlib,-O3,123,72.4,6.5,12.2,89,8
zlib,-Os,137,48.9,2.2,4.3,67,3
