library,N,attributable,P_detect_k1,P_detect_k2,P_detect_k5,P_detect_k10,full_link
base64,7,0,0.0,0.0,0.0,0.0,0.0
heatshrink,16,0,0.0,0.0,0.0,0.0,0.0
inih,7,0,0.0,0.0,0.0,0.0,0.0
microtar,19,0,0.0,0.0,0.0,0.0,0.0
tinyregex,8,0,0.0,0.0,0.0,0.0,0.0
mpack,366,6,0.0164,0.0326,0.0797,0.1541,1.0
tinyexpr,27,1,0.037,0.0741,0.1852,0.3704,1.0
tomlc99,57,3,0.0526,0.1034,0.2447,0.4458,1.0
parson,120,7,0.0583,0.1137,0.2635,0.4651,1.0
cJSON,90,7,0.0778,0.1503,0.3394,0.5748,1.0
cwalk,33,3,0.0909,0.1761,0.3996,0.6754,1.0
picohttpparser,9,1,0.1111,0.2222,0.5556,1.0,1.0
yyjson,68,13,0.1912,0.3481,0.6663,0.8994,1.0
sds,50,10,0.2,0.3633,0.6894,0.9175,1.0
sha2,5,1,0.2,0.4,1.0,1.0,1.0
zlib,130,29,0.2231,0.3977,0.7233,0.9279,1.0
klib,177,40,0.226,0.4019,0.7268,0.9286,1.0
lua,408,93,0.2279,0.4044,0.7277,0.9272,1.0
stb,113,27,0.2389,0.4224,0.7519,0.943,1.0
mongoose,265,65,0.2453,0.4311,0.7582,0.9434,1.0
logc,8,2,0.25,0.4643,0.8929,1.0,1.0
miniz,141,40,0.2837,0.4883,0.8168,0.9689,1.0
lz4,162,51,0.3148,0.5319,0.8533,0.9801,1.0
monocypher,82,27,0.3293,0.5528,0.8725,0.9863,1.0
md4c,60,22,0.3667,0.6028,0.9081,0.9937,1.0
utf8proc,33,16,0.4848,0.7424,0.9739,0.9998,1.0
jsmn,2,1,0.5,1.0,1.0,1.0,1.0
xxHash,61,32,0.5246,0.7781,0.98,0.9998,1.0
http_parser,17,9,0.5294,0.7941,0.991,1.0,1.0
qrcodegen,25,20,0.8,0.9667,1.0,1.0,1.0
