library,CEIL,share_const,share_data,share_call,marginal_const,marginal_data,marginal_call
base64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cJSON,10.0,10.0,0.0,1.1,8.9,0.0,0.0
cwalk,12.1,3.0,9.1,0.0,3.0,9.1,0.0
heatshrink,12.5,12.5,0.0,0.0,12.5,0.0,0.0
http_parser,52.9,41.2,35.3,0.0,17.6,11.8,0.0
inih,14.3,14.3,0.0,0.0,14.3,0.0,0.0
jsmn,50.0,50.0,0.0,0.0,50.0,0.0,0.0
klib,61.6,30.5,8.5,31.6,24.3,4.5,24.9
logc,25.0,0.0,0.0,25.0,0.0,0.0,25.0
lua,31.9,27.7,3.4,2.2,26.2,2.7,1.5
lz4,49.4,48.8,10.5,0.0,38.9,0.6,0.0
md4c,50.0,41.7,13.3,1.7,35.0,6.7,1.7
microtar,15.8,15.8,0.0,5.3,10.5,0.0,0.0
miniz,39.7,33.3,9.9,6.4,23.4,2.1,4.3
mongoose,33.2,25.3,14.7,10.9,12.1,3.8,4.2
monocypher,41.5,18.3,24.4,0.0,17.1,23.2,0.0
mpack,6.8,6.3,0.0,0.5,6.3,0.0,0.5
parson,9.2,7.5,0.0,1.7,7.5,0.0,1.7
picohttpparser,33.3,11.1,33.3,0.0,0.0,22.2,0.0
qrcodegen,84.0,48.0,76.0,0.0,8.0,36.0,0.0
sds,22.0,8.0,18.0,0.0,4.0,14.0,0.0
sha2,20.0,20.0,20.0,0.0,0.0,0.0,0.0
stb,38.1,30.1,15.0,4.4,19.5,5.3,2.7
tinyexpr,11.1,7.4,0.0,3.7,7.4,0.0,3.7
tinyregex,37.5,25.0,0.0,12.5,25.0,0.0,12.5
tomlc99,12.3,8.8,3.5,1.8,7.0,1.8,1.8
utf8proc,60.6,60.6,45.5,0.0,15.2,0.0,0.0
xxHash,52.5,44.3,24.6,0.0,27.9,8.2,0.0
yyjson,25.0,25.0,13.2,0.0,11.8,0.0,0.0
zlib,58.5,53.8,10.0,6.9,41.5,4.6,0.0
